iter	RMSE
0	0.4896843186
1	0.4845143723
2	0.4797254362
3	0.4752140941
4	0.4710873566
5	0.4674537274
6	0.4641468977
7	0.4611150972
8	0.4581846196
9	0.4554894481
10	0.4531389424
11	0.4509488106
12	0.4489090872
13	0.4470822722
14	0.4453746033
15	0.4437437808
16	0.4421975266
17	0.4408551405
18	0.4396264666
19	0.4384765258
20	0.4373699566
21	0.4363156628
22	0.435409761
23	0.4345462126
24	0.4335028647
25	0.4326920264
26	0.4319410047
27	0.4312286063
28	0.4306501273
29	0.4299218937
30	0.4294050378
31	0.4288115569
32	0.4283238866
33	0.4278125602
34	0.4273567005
35	0.4269574655
36	0.4265876068
37	0.425955929
38	0.4254240097
39	0.4250732857
40	0.4246874773
41	0.4243380028
42	0.4238542634
43	0.4235225585
44	0.4232041594
45	0.4229150283
46	0.422632467
47	0.4223753537
48	0.4221212626
49	0.4217785421
50	0.4215720541
51	0.421351877
52	0.421162217
53	0.4209338656
54	0.4207424878
55	0.4205524014
56	0.4203452786
57	0.4199318086
58	0.4196830534
59	0.4194380701
60	0.4192716736
61	0.4191082741
62	0.4189486347
63	0.4187413486
64	0.4185824629
65	0.4184354652
66	0.418283517
67	0.4181612625
68	0.4178388533
69	0.4176049064
70	0.4174160302
71	0.417280898
72	0.4170908002
73	0.4169368651
74	0.4167947599
75	0.4166811445
76	0.4163760021
77	0.4162938655
78	0.4161583801
79	0.4160259082
80	0.4158849915
81	0.4157281053
82	0.4156098255
83	0.4154609343
84	0.4153588054
85	0.4152170406
86	0.4150826724
87	0.4149865601
88	0.4148361455
89	0.4147372847
90	0.4146080458
91	0.4145314365
92	0.4144011172
93	0.4142989396
94	0.4142156071
95	0.414121151
96	0.4139647466
97	0.4137559769
98	0.4136443428
99	0.4135652265
100	0.413492885
101	0.4133726751
102	0.4133011562
103	0.4132038005
104	0.4130956094
105	0.4130369722
106	0.4129682758
107	0.4129054376
108	0.4128493352
109	0.4127433921
110	0.4126636921
111	0.4124288746
112	0.4123625255
113	0.4120976365
114	0.4120214987
115	0.4119654069
116	0.4118508105
117	0.4117599987
118	0.41166789
119	0.4115739904
120	0.4114848872
121	0.4114176919
122	0.4113306125
123	0.4112669017
124	0.4111891102
125	0.4111065177
126	0.4110242161
127	0.4109405729
128	0.4108318566
129	0.4107688507
130	0.4107258021
131	0.4105798399
132	0.4105413426
133	0.4104372702
134	0.4103938671
135	0.4103147391
136	0.4102395776
137	0.4101753986
138	0.4101225641
139	0.4100320382
140	0.4099620944
141	0.4098725465
142	0.4098170708
143	0.4097555147
144	0.4095900405
145	0.4095119763
146	0.4094224839
147	0.4093596976
148	0.4092736576
149	0.4092177639
150	0.4090884295
151	0.4090136427
152	0.4088294203
153	0.4087698128
154	0.4086945004
155	0.4086359947
156	0.4085831543
157	0.4085219071
158	0.4084606295
159	0.4084118126
160	0.4083559179
161	0.4082989801
162	0.4081321157
163	0.4080812388
164	0.4079474195
165	0.4078691746
166	0.4078404031
167	0.4077927562
168	0.4077107773
169	0.407646632
170	0.4075598025
171	0.4075025758
172	0.4074464683
173	0.4074005858
174	0.4073608901
175	0.4073004069
176	0.4072645796
177	0.4072254247
178	0.4071791397
179	0.407147362
180	0.4071141569
181	0.407066549
182	0.4070227951
183	0.4069427353
184	0.4068845539
185	0.4068573026
186	0.4067222741
187	0.4066553034
188	0.4066222203
189	0.4065571446
190	0.4065127165
191	0.4063842736
192	0.4063333274
193	0.4062874423
194	0.4062338807
195	0.4061836871
196	0.4061294439
197	0.4060605435
198	0.4060214165
199	0.4059693151
200	0.4059292168
201	0.4058804539
202	0.4058492298
203	0.4058050707
204	0.4057584592
205	0.4057312681
206	0.4057159236
207	0.4056737921
208	0.4056326878
209	0.4055799915
210	0.4055216736
211	0.4054817827
212	0.4054247865
213	0.4053916007
214	0.4052749789
215	0.4052250966
216	0.405177798
217	0.4051251031
218	0.4050742423
219	0.4049716192
220	0.404920974
221	0.4048838242
222	0.4048166759
223	0.4047917294
224	0.4047536535
225	0.4047113789
226	0.4046805728
227	0.4046376163
228	0.4045961874
229	0.4045565659
230	0.4044796795
231	0.4044142463
232	0.4043794932
233	0.4043395131
234	0.4042983248
235	0.4042518296
236	0.4042021085
237	0.4041706602
238	0.4041349507
239	0.4040914376
240	0.4040586596
241	0.404033998
242	0.4039837353
243	0.4039269724
244	0.403900065
245	0.4038666929
246	0.4038333903
247	0.4037990075
248	0.4037191619
249	0.4036820715
250	0.4036424765
251	0.403610451
252	0.403578473
253	0.4035303842
254	0.4035032543
255	0.4034816355
256	0.4034441809
257	0.4034143837
258	0.4033785064
259	0.4033527251
260	0.4033229697
261	0.4032738759
262	0.4032438321
263	0.4032186603
264	0.4031804469
265	0.4031409716
266	0.4031125934
267	0.403089064
268	0.4030585707
269	0.4030255306
270	0.4029820558
271	0.4029470768
272	0.4029050617
273	0.4028728641
274	0.4028379262
275	0.4028099678
276	0.4027701178
277	0.4027340565
278	0.4026969754
279	0.4026541736
280	0.4026101534
281	0.4025847534
282	0.4025471415
283	0.4025159281
284	0.4024863768
285	0.4024421288
286	0.402406435
287	0.4023730016
288	0.4023424089
289	0.4023123358
290	0.4022870093
291	0.4022595871
292	0.4022260692
293	0.4021867226
294	0.4021478834
295	0.4021087462
296	0.402080989
297	0.4020447938
298	0.4020205257
299	0.401983729
300	0.4019565799
301	0.4019173622
302	0.4018873029
303	0.4018418825
304	0.4018139441
305	0.4017840398
306	0.4017430973
307	0.4017019105
308	0.4016771255
309	0.4016496375
310	0.4016153131
311	0.4015941583
312	0.4015654791
313	0.4015321088
314	0.401502504
315	0.4014832451
316	0.4014526664
317	0.4014022832
318	0.4013699751
319	0.4013433082
320	0.4013150918
321	0.4012814839
322	0.4012468077
323	0.4012119362
324	0.4011782133
325	0.4011463892
326	0.4011239876
327	0.4011021364
328	0.4010764031
329	0.4010506841
330	0.4010274174
331	0.4009437559
332	0.4009165704
333	0.4008907908
334	0.4008643178
335	0.4008423715
336	0.4008193107
337	0.4007928866
338	0.4007571835
339	0.4007329159
340	0.4007059444
341	0.4006488634
342	0.4006317737
343	0.400611977
344	0.4005920888
345	0.4005212075
346	0.4004998036
347	0.4004756221
348	0.4004421944
349	0.4004197735
350	0.4004011836
351	0.4003791131
352	0.4003516341
353	0.4003260819
354	0.4002872693
355	0.4002585976
356	0.4002276379
357	0.400163946
358	0.4001445945
359	0.4001177972
360	0.4000885314
361	0.4000586345
362	0.4000282587
363	0.4000099341
364	0.3999890662
365	0.3999662693
366	0.3999448585
367	0.3999255434
368	0.3998861735
369	0.3998568568
370	0.3998362851
371	0.3998166293
372	0.3997778265
373	0.3997501985
374	0.3997319997
375	0.3996975185
376	0.3996789325
377	0.399644249
378	0.3996184429
379	0.3996004726
380	0.3995748702
381	0.3995504957
382	0.399526557
383	0.3995064559
384	0.3994898254
385	0.399460439
386	0.3994373253
387	0.3994231244
388	0.3993924057
389	0.399372372
390	0.3993507519
391	0.3993114112
392	0.3992933171
393	0.3992693433
394	0.3992397461
395	0.3992217103
396	0.3991922485
397	0.3991688733
398	0.399133854
399	0.3991083631
400	0.3990896986
401	0.399067284
402	0.3990335453
403	0.3990131945
404	0.398987613
405	0.3989697014
406	0.398951247
407	0.3989210833
408	0.3989023292
409	0.3988813699
410	0.3988442427
411	0.3987908645
412	0.3987657265
413	0.398745775
414	0.3987247196
415	0.3987074072
416	0.3986755913
417	0.3986514121
418	0.3986249208
419	0.3986043333
420	0.3985866819
421	0.3985369308
422	0.3985188304
423	0.3985022376
424	0.3984780635
425	0.3984607033
426	0.3984440531
427	0.3984215917
428	0.3983992783
429	0.3983799641
430	0.3983507843
431	0.3983284708
432	0.3982916806
433	0.3982758204
434	0.3982605427
435	0.3982311831
436	0.398188946
437	0.3981525671
438	0.3981327429
439	0.3981095482
440	0.398092661
441	0.3980585547
442	0.3980382806
443	0.3980232737
444	0.3979972223
445	0.3979730628
446	0.3979479971
447	0.397931924
448	0.3979067026
449	0.3978857523
450	0.3978695837
451	0.3978490952
452	0.3978124913
453	0.397793776
454	0.3977787378
455	0.3977632101
456	0.3977482976
457	0.397709993
458	0.3976784974
459	0.3976573507
460	0.3976419997
461	0.3976192685
462	0.3975960059
463	0.3975755205
464	0.3975589462
465	0.3975408569
466	0.3975204211
467	0.3975026841
468	0.3974807898
469	0.3974511415
470	0.3974091027
471	0.3973964824
472	0.397372248
473	0.3973553964
474	0.3973337901
475	0.3973114582
476	0.397292447
477	0.3972794259
478	0.3972523655
479	0.3972308384
480	0.3972052954
481	0.397185709
482	0.3971739658
483	0.3971566995
484	0.3971394292
485	0.3971131311
486	0.397078932
487	0.3970652164
488	0.3970426712
489	0.397028323
490	0.3970034409
491	0.3969903743
492	0.3969590662
493	0.396939988
494	0.396923113
495	0.3968964702
496	0.3968801009
497	0.3968621684
498	0.396844153
499	0.3968284887
