iter	Passed	Remaining
0	9	4734
1	18	4486
2	26	4347
3	34	4235
4	42	4183
5	50	4124
6	58	4140
7	66	4070
8	73	4031
9	81	4002
10	90	4031
11	98	4012
12	106	3997
13	115	3995
14	123	3987
15	131	3974
16	139	3953
17	146	3921
18	154	3900
19	161	3878
20	171	3902
21	180	3926
22	188	3914
23	196	3897
24	204	3883
25	212	3870
26	220	3860
27	230	3883
28	238	3869
29	246	3856
30	254	3847
31	262	3842
32	270	3828
33	279	3833
34	289	3844
35	297	3829
36	304	3815
37	312	3805
38	321	3794
39	328	3782
40	338	3786
41	346	3781
42	355	3773
43	362	3760
44	372	3761
45	379	3747
46	388	3743
47	396	3734
48	404	3724
49	412	3714
50	420	3698
51	427	3686
52	435	3676
53	444	3675
54	453	3668
55	461	3657
56	469	3648
57	477	3640
58	485	3629
59	493	3621
60	502	3617
61	510	3606
62	518	3595
63	526	3586
64	535	3580
65	542	3570
66	551	3563
67	559	3555
68	567	3544
69	575	3536
70	584	3529
71	591	3517
72	600	3509
73	609	3505
74	617	3497
75	624	3485
76	633	3478
77	642	3476
78	651	3473
79	661	3475
80	670	3469
81	679	3465
82	688	3457
83	696	3449
84	704	3440
85	713	3433
86	722	3431
87	733	3433
88	741	3425
89	750	3417
90	758	3409
91	765	3396
92	773	3385
93	781	3374
94	788	3362
95	796	3352
96	804	3343
97	812	3334
98	820	3323
99	828	3312
100	835	3299
101	842	3288
102	850	3276
103	857	3266
104	865	3255
105	873	3245
106	880	3233
107	887	3222
108	895	3211
109	902	3199
110	910	3189
111	918	3180
112	927	3175
113	934	3165
114	942	3154
115	949	3144
116	957	3135
117	967	3133
118	976	3126
119	983	3115
120	991	3106
121	998	3094
122	1006	3084
123	1014	3075
124	1021	3064
125	1028	3053
126	1037	3048
127	1046	3042
128	1054	3033
129	1062	3023
130	1069	3012
131	1076	3002
132	1084	2991
133	1092	2982
134	1099	2972
135	1107	2964
136	1115	2955
137	1122	2945
138	1130	2935
139	1138	2926
140	1145	2917
141	1153	2908
142	1161	2899
143	1169	2890
144	1176	2881
145	1184	2872
146	1192	2863
147	1199	2852
148	1207	2844
149	1215	2835
150	1223	2827
151	1231	2818
152	1238	2809
153	1246	2800
154	1254	2791
155	1261	2782
156	1269	2773
157	1277	2764
158	1284	2755
159	1292	2746
160	1299	2737
161	1307	2728
162	1315	2719
163	1323	2711
164	1330	2701
165	1338	2693
166	1346	2684
167	1353	2675
168	1361	2666
169	1369	2658
170	1377	2649
171	1384	2641
172	1392	2632
173	1400	2623
174	1407	2614
175	1416	2606
176	1423	2598
177	1431	2589
178	1439	2581
179	1447	2572
180	1454	2563
181	1462	2554
182	1469	2545
183	1477	2537
184	1485	2529
185	1493	2520
186	1500	2511
187	1508	2502
188	1515	2494
189	1523	2485
190	1530	2476
191	1538	2467
192	1546	2460
193	1554	2451
194	1561	2442
195	1569	2434
196	1577	2426
197	1585	2418
198	1593	2410
199	1601	2401
200	1609	2393
201	1617	2385
202	1625	2377
203	1632	2369
204	1640	2361
205	1649	2354
206	1657	2345
207	1665	2337
208	1673	2330
209	1682	2323
210	1691	2316
211	1699	2309
212	1708	2301
213	1716	2293
214	1724	2285
215	1731	2277
216	1739	2268
217	1747	2260
218	1755	2252
219	1763	2244
220	1771	2236
221	1779	2227
222	1786	2219
223	1795	2212
224	1805	2206
225	1813	2198
226	1820	2189
227	1828	2181
228	1836	2172
229	1843	2164
230	1852	2156
231	1860	2149
232	1868	2140
233	1876	2132
234	1883	2124
235	1891	2116
236	1899	2108
237	1907	2099
238	1914	2090
239	1922	2082
240	1929	2073
241	1937	2065
242	1944	2056
243	1951	2047
244	1958	2038
245	1966	2030
246	1973	2021
247	1981	2013
248	1988	2004
249	1996	1996
250	2005	1989
251	2012	1980
252	2020	1972
253	2027	1964
254	2035	1955
255	2042	1946
256	2049	1938
257	2057	1929
258	2064	1921
259	2071	1912
260	2079	1904
261	2086	1895
262	2094	1887
263	2101	1878
264	2109	1870
265	2116	1861
266	2123	1853
267	2131	1844
268	2138	1836
269	2145	1827
270	2153	1819
271	2160	1811
272	2168	1803
273	2175	1794
274	2183	1786
275	2190	1778
276	2198	1770
277	2206	1762
278	2214	1753
279	2221	1745
280	2229	1737
281	2236	1729
282	2244	1720
